GEO_ID,NAME,S1501_C01_005E,S1501_C01_012E,S1501_C01_018E,S1501_C01_024E,S1501_C01_027E,Total
37001,"Alamance County, North Carolina",1082,19504,5201,11686,5987,43460
37003,"Alexander County, North Carolina",234,2683,512,1889,996,6314
37005,"Alleghany County, North Carolina",119,1069,221,582,792,2783
37007,"Anson County, North Carolina",137,1391,330,867,512,3237
37009,"Ashe County, North Carolina",161,2785,653,1327,1513,6439
37011,"Avery County, North Carolina",67,1963,458,1082,1184,4754
37013,"Beaufort County, North Carolina",160,4301,690,2442,3005,10598
37015,"Bertie County, North Carolina",20,1256,536,682,600,3094
37017,"Bladen County, North Carolina",56,3070,658,1579,1465,6828
37019,"Brunswick County, North Carolina",351,20654,2725,11330,15074,50134
37021,"Buncombe County, North Carolina",1927,48024,13733,27887,21377,112948
37023,"Burke County, North Carolina",449,7076,1370,4373,3428,16696
37025,"Cabarrus County, North Carolina",1870,29881,9468,19258,5801,66278
37027,"Caldwell County, North Carolina",478,6480,1472,3899,2329,14658
37029,"Camden County, North Carolina",35,1035,275,809,257,2411
37031,"Carteret County, North Carolina",302,8961,2170,5393,5278,22104
37033,"Caswell County, North Carolina",235,1719,233,1294,593,4074
37035,"Catawba County, North Carolina",1353,17844,4629,10242,5540,39608
37037,"Chatham County, North Carolina",477,12694,2197,9675,7578,32621
37039,"Cherokee County, North Carolina",131,2905,635,1578,1874,7123
37041,"Chowan County, North Carolina",44,1439,350,944,768,3545
37043,"Clay County, North Carolina",0,1524,111,592,1279,3506
37045,"Cleveland County, North Carolina",601,8271,2268,5068,3241,19449
37047,"Columbus County, North Carolina",234,3415,622,1966,1463,7700
37049,"Craven County, North Carolina",611,10473,3042,5756,5321,25203
37051,"Cumberland County, North Carolina",2707,34673,14313,17814,8562,78069
37053,"Currituck County, North Carolina",163,3540,1116,1803,1047,7669
37055,"Dare County, North Carolina",343,7062,1143,4458,3488,16494
37057,"Davidson County, North Carolina",1366,15627,3650,8975,4868,34486
37059,"Davie County, North Carolina",172,4906,650,3193,2255,11176
37061,"Duplin County, North Carolina",218,4087,824,2402,1475,9006
37063,"Durham County, North Carolina",6847,56443,33763,34873,17460,149386
37065,"Edgecombe County, North Carolina",196,4214,845,2169,1665,9089
37067,"Forsyth County, North Carolina",4293,53484,17964,33715,16898,126354
37069,"Franklin County, North Carolina",358,7271,2022,4476,1591,15718
37071,"Gaston County, North Carolina",1253,23333,7386,12237,6213,50422
37073,"Gates County, North Carolina",64,640,104,559,258,1625
37075,"Graham County, North Carolina",0,549,106,224,286,1165
37077,"Granville County, North Carolina",293,6801,1695,4102,1961,14852
37079,"Greene County, North Carolina",33,1152,353,451,349,2338
37081,"Guilford County, North Carolina",5684,83397,27984,51192,25592,193849
37083,"Halifax County, North Carolina",110,3567,999,2087,1520,8283
37085,"Harnett County, North Carolina",928,13043,5785,6931,2293,28980
